EPIK_ID,PARTY_ID,VOTES,Perc,TakesEdres,Edres,EdresEpik,Rank
1,2,2115322,40.5606527,1,152,6,1
1,4,930013,17.832715,1,44,3,2
1,106,617487,11.8401245,1,30,2,3
1,3,401224,7.6933476,1,20,1,4
1,157,243922,4.6771298,1,12,0,5
1,108,231491,4.4387692,1,11,1,6
1,131,193124,3.7030937,1,9,1,7
1,123,165523,3.1738529,1,7,1,8
1,122,130378,2.4999583,0,0,0,9
1,153,25858,0.4958192,0,0,0,10
1,158,22347,0.4284969,0,0,0,11
1,28,21188,0.4062734,0,0,0,12
1,150,17181,0.3294404,0,0,0,13
1,44,15887,0.3046284,0,0,0,14
1,155,15725,0.3015221,0,0,0,15
1,140,14781,0.2834212,0,0,0,16
1,15,14286,0.2739297,0,0,0,17
1,130,13652,0.2617729,0,0,0,18
1,125,9420,0.1806256,0,0,0,19
1,113,6408,0.1228714,0,0,0,20
1,10,4250,0.0814925,0,0,0,21
1,78,2965,0.056853,0,0,0,22
1,66,1374,0.026346,0,0,0,23
1,11,1104,0.0211689,0,0,0,24
1,152,132,0.0025311,0,0,0,25
1,65,122,0.0023393,0,0,0,26
1,159,23,0.000441,0,0,0,27
1,151,17,0.000326,0,0,0,28
1,156,3,5.75e-05,0,0,0,29
1,20,0,0,0,0,0,30
1,998,0,0,0,0,0,31
